From,To,Fare,Distance,Bus_Name
Savar,Gabtoli,10,13.8,
Savar,Mirpur-1,41,16.9,
Savar,Mirpur-10,46,18.8,
Savar,Mohakhali,64,26.3,
Savar,Gulshan-1,70,28.7,
Savar,Bonosri,86,35,
Savar,Amulia Stuff Quarter,105,43,
Gabtoli,Mirpur-1,10,3.1,
Gabtoli,Mirpur-10,12,5,
Gabtoli,Mohakhali,31,12.5,
Gabtoli,Gulshan-1,37,14.9,
Gabtoli,Bonosri,52,21.2,
Gabtoli,Amulia Stuff Quarter,72,29.2,
Mirpur-1,Mirpur-10,10,1.9,
Mirpur-1,Mohakhali,23,9.4,
Mirpur-1,Gulshan-1,29,11.8,
Mirpur-1,Bonosri,44,18.1,
Mirpur-1,Amulia Stuff Quarter,64,26.1,
Mirpur-10,Mohakhali,18,7.5,
Mirpur-10,Gulshan-1,24,9.9,
Mirpur-10,Bonosri,40,16.2,
Mirpur-10,Amulia Stuff Quarter,59,24.2,
Mohakhali,Gulshan-1,10,2.4,
Mohakhali,Bonosri,21,8.7,
Mohakhali,Amulia Stuff Quarter,41,16.7,
Gulshan-1,Bonosri,15,6.3,
Gulshan-1,Amulia Stuff Quarter,35,14.3,
Bonosri,Amulia Stuff Quarter,20,8,
